iter	RMSE
0	54382.43924
1	54202.64422
2	54015.28065
3	53826.83583
4	53634.25873
5	53446.70147
6	53259.38769
7	53076.82243
8	52894.8283
9	52713.37824
10	52538.77154
11	52374.45861
12	52207.48982
13	52042.43546
14	51878.36301
15	51715.81192
16	51554.50539
17	51405.29672
18	51248.72548
19	51096.76338
20	50947.91208
21	50803.0832
22	50658.65996
23	50534.92766
24	50395.01854
25	50256.70289
26	50119.29122
27	49983.21551
28	49852.68851
29	49720.57534
30	49609.66579
31	49488.1984
32	49367.20806
33	49241.91603
34	49126.82013
35	49012.42993
36	48904.73571
37	48789.48635
38	48680.57857
39	48571.51107
40	48460.41015
41	48352.58607
42	48245.8318
43	48142.06822
44	48035.10042
45	47936.91323
46	47834.54015
47	47739.45848
48	47644.28951
49	47548.39609
50	47450.39182
51	47363.3225
52	47270.53061
53	47181.20452
54	47090.02059
55	47001.73615
56	46914.93935
57	46831.18166
58	46747.77346
59	46665.2471
60	46588.53783
61	46506.76859
62	46426.478
63	46348.28848
64	46273.82885
65	46197.3762
66	46117.73784
67	46041.1191
68	45963.72186
69	45888.07394
70	45814.019
71	45741.22027
72	45670.66872
73	45600.77934
74	45529.97266
75	45461.26394
76	45397.8975
77	45327.98266
78	45267.4266
79	45207.87716
80	45148.25948
81	45090.8128
82	45027.29867
83	44963.65182
84	44908.97347
85	44850.88304
86	44792.77091
87	44736.07982
88	44684.05874
89	44635.75439
90	44577.93284
91	44525.59077
92	44470.88401
93	44418.51942
94	44366.86104
95	44316.10951
96	44266.49855
97	44215.79222
98	44163.78196
99	44115.98384
100	44068.64437
101	44019.5465
102	43970.59486
103	43925.01165
104	43883.73907
105	43838.04268
106	43792.35062
107	43748.12839
108	43705.27833
109	43664.83885
110	43623.46578
111	43577.98064
112	43535.83369
113	43498.42889
114	43459.78984
115	43419.78044
116	43380.69113
117	43338.93989
118	43302.22483
119	43264.25516
120	43223.36125
121	43187.30658
122	43153.57562
123	43114.97204
124	43074.76553
125	43038.73717
126	43002.33276
127	42965.2842
128	42933.74604
129	42899.05442
130	42868.24343
131	42836.08956
132	42804.47451
133	42768.17368
134	42738.67051
135	42711.54508
136	42679.74082
137	42653.36073
138	42622.15314
139	42592.43966
140	42563.32049
141	42533.21605
142	42505.52405
143	42476.45536
144	42448.28997
145	42421.25083
146	42392.86467
147	42366.38967
148	42339.34779
149	42311.21821
150	42286.58304
151	42262.38113
152	42237.1533
153	42214.08704
154	42188.08372
155	42167.06133
156	42145.89875
157	42121.31439
158	42096.71192
159	42074.34401
160	42052.49563
161	42031.31821
162	42012.83919
163	41990.91478
164	41968.82832
165	41946.78725
166	41925.32157
167	41904.92661
168	41885.20357
169	41862.45813
170	41843.82032
171	41824.16303
172	41806.0103
173	41785.65639
174	41766.10273
175	41750.5971
176	41732.01609
177	41712.97454
178	41695.22238
179	41676.5203
180	41658.58533
181	41641.48034
182	41624.20509
183	41606.17945
184	41587.91515
185	41570.57806
186	41553.86438
187	41538.37416
188	41520.61892
189	41507.42075
190	41492.97173
191	41477.62782
192	41466.47906
193	41453.741
194	41438.46486
195	41422.26801
196	41406.18517
197	41391.90669
198	41377.43476
199	41360.30682
200	41346.21091
201	41334.97622
202	41319.10828
203	41307.13839
204	41293.17518
205	41278.09717
206	41266.11425
207	41254.67219
208	41241.54948
209	41228.90616
210	41213.61638
211	41201.90147
212	41189.71574
213	41179.48612
214	41167.68266
215	41156.51724
216	41144.96286
217	41134.13658
218	41123.56913
219	41115.2741
220	41104.10121
221	41093.96787
222	41082.78583
223	41072.73703
224	41062.78739
225	41052.28287
226	41040.52296
227	41029.0524
228	41019.5735
229	41006.007
230	40994.95545
231	40984.8606
232	40974.78678
233	40961.35321
234	40950.36937
235	40937.45522
236	40927.97351
237	40919.11384
238	40908.3059
239	40897.46266
240	40889.29628
241	40877.23373
242	40867.92258
243	40858.6292
244	40850.58766
245	40842.48599
246	40833.14187
247	40822.44179
248	40812.54025
249	40801.88246
250	40790.0547
251	40783.23004
252	40775.25522
253	40767.07732
254	40757.85263
255	40746.62576
256	40736.52928
257	40724.33853
258	40710.10101
259	40698.53305
260	40691.402
261	40679.40928
262	40668.01282
263	40656.68303
264	40644.65502
265	40634.7049
266	40628.45084
267	40616.82208
268	40609.76389
269	40599.10271
270	40593.03954
271	40585.42832
272	40574.54146
273	40564.1463
274	40555.2474
275	40548.57044
276	40539.98683
277	40533.70728
278	40526.34808
279	40520.58784
280	40509.83599
281	40504.99189
282	40498.9425
283	40488.73839
284	40482.06834
285	40476.58774
286	40468.13298
287	40460.31133
288	40452.28547
289	40444.5939
290	40438.66427
291	40433.41019
292	40426.24341
293	40417.33199
294	40412.63176
295	40403.59949
296	40394.70681
297	40388.7429
298	40380.55135
299	40371.00619
300	40366.56181
301	40360.50449
302	40351.14304
303	40344.6566
304	40336.84459
305	40328.69375
306	40322.59895
307	40319.02726
308	40313.89039
309	40306.44028
310	40299.87838
311	40293.16377
312	40286.6985
313	40282.88844
314	40278.55649
315	40271.2455
316	40264.68738
317	40259.93825
318	40255.87219
319	40248.6518
320	40244.44321
321	40239.02812
322	40234.07591
323	40229.99751
324	40223.6309
325	40216.32265
326	40212.32399
327	40207.12143
328	40201.27939
329	40194.97127
330	40188.15251
331	40181.97654
332	40178.19978
333	40174.90347
334	40168.46214
335	40164.61939
336	40161.68377
337	40156.71688
338	40155.09391
339	40150.05649
340	40145.53756
341	40142.45924
342	40138.94256
343	40133.30981
344	40128.12995
345	40122.45559
346	40116.79702
347	40111.8992
348	40108.27789
349	40104.50004
350	40100.10998
351	40094.16298
352	40090.57165
353	40085.52003
354	40082.24818
355	40077.8564
356	40072.93788
357	40067.94144
358	40064.60933
359	40061.40032
360	40055.85377
361	40051.85953
362	40049.64659
363	40045.34484
364	40040.58251
365	40034.79474
366	40032.04138
367	40027.28512
368	40022.03315
369	40017.77769
370	40014.60442
371	40009.63391
372	40003.32277
373	40000.47615
374	39995.60483
375	39992.11464
376	39986.1398
377	39981.47037
378	39977.44783
379	39972.80506
380	39967.84625
381	39963.83091
382	39961.8243
383	39959.48817
384	39953.38199
385	39951.50837
386	39946.79515
387	39942.65115
388	39938.35958
389	39933.22796
390	39929.09988
391	39925.94333
392	39921.66954
393	39918.99168
394	39916.25355
395	39912.40683
396	39909.02752
397	39904.70623
398	39900.84209
399	39895.79942
400	39892.61421
401	39889.40717
402	39885.20184
403	39881.36001
404	39879.27343
405	39875.70862
406	39871.69179
407	39868.94165
408	39866.44179
409	39863.88613
410	39861.05374
411	39859.35902
412	39855.58312
413	39851.22752
414	39847.62801
415	39844.36596
416	39841.0507
417	39836.62457
418	39834.09743
419	39831.05155
420	39829.24536
421	39825.64125
422	39823.02758
423	39818.62393
424	39816.80682
425	39813.22609
426	39809.64172
427	39806.43062
428	39803.57375
429	39801.42708
430	39798.06145
431	39795.07726
432	39792.55154
433	39790.73475
434	39787.82434
435	39786.0157
436	39784.54279
437	39782.29017
438	39779.39068
439	39773.9551
440	39771.84941
441	39769.96908
442	39767.23339
443	39764.52339
444	39760.52775
445	39758.46908
446	39756.58783
447	39753.39995
448	39749.03563
449	39746.95387
450	39744.08073
451	39740.645
452	39738.66754
453	39736.07211
454	39733.80169
455	39731.01238
456	39729.06584
457	39726.7416
458	39723.92047
459	39721.23515
460	39719.92648
461	39717.49403
462	39715.88754
463	39714.37269
464	39712.94381
465	39710.30789
466	39708.00704
467	39705.95695
468	39703.45156
469	39701.79517
470	39698.6264
471	39696.72637
472	39693.72403
473	39689.5381
474	39686.94336
475	39684.94094
476	39680.7377
477	39679.37888
478	39676.98246
479	39675.1271
480	39674.17885
481	39671.83882
482	39670.23393
483	39665.4532
484	39662.9822
485	39661.31982
486	39658.98076
487	39657.35421
488	39655.58621
489	39654.00779
490	39653.09262
491	39650.35455
492	39648.659
493	39646.98907
494	39645.43661
495	39643.81809
496	39639.86401
497	39637.95888
498	39634.67688
499	39632.25626
500	39629.6955
501	39628.76518
502	39627.00657
503	39625.91459
504	39623.51324
505	39621.45597
506	39621.38294
507	39617.02173
508	39614.57637
509	39611.81232
510	39610.06906
511	39607.52881
512	39604.73734
513	39601.72575
514	39600.31131
515	39597.69281
516	39595.92161
517	39594.1655
518	39591.82018
519	39588.87512
520	39587.92224
521	39586.13917
522	39583.65316
523	39581.73157
524	39579.63004
525	39577.51484
526	39574.40158
527	39574.39919
528	39571.74265
529	39570.46948
530	39568.65256
531	39567.56392
532	39564.16387
533	39561.75731
534	39560.09477
535	39559.28215
536	39557.90872
537	39556.44614
538	39554.65982
539	39553.30511
540	39552.07087
541	39549.59675
542	39547.35254
543	39545.50258
544	39543.17555
545	39539.38918
546	39537.48053
547	39534.71859
548	39532.52821
549	39529.69555
550	39527.65248
551	39525.61325
552	39524.32371
553	39523.36817
554	39521.27276
555	39519.59397
556	39517.32569
557	39515.40917
558	39514.0201
559	39512.28061
560	39510.45615
561	39508.74879
562	39506.71537
563	39505.52643
564	39503.78432
565	39503.03445
566	39501.39491
567	39499.07544
568	39496.43157
569	39494.90484
570	39492.44783
571	39491.18289
572	39490.1515
573	39489.02026
574	39486.06246
575	39484.70716
576	39480.8278
577	39479.21676
578	39477.0143
579	39475.67894
580	39472.50877
581	39470.44665
582	39469.32334
583	39467.26842
584	39465.79578
585	39464.56876
586	39463.07744
587	39461.80237
588	39460.8439
589	39458.73181
590	39456.71915
591	39455.35264
592	39451.15086
593	39448.40681
594	39446.69465
595	39445.63105
596	39443.12528
597	39441.14881
598	39439.85635
599	39438.57911
600	39436.21217
601	39433.73021
602	39433.05774
603	39430.52835
604	39429.79831
605	39427.96435
606	39426.42788
607	39424.63393
608	39422.55892
609	39420.17332
610	39418.06698
611	39416.61776
612	39415.00448
613	39414.10985
614	39411.74275
615	39410.16703
616	39408.8749
617	39407.20033
618	39404.33879
619	39401.96444
620	39400.33546
621	39397.65177
622	39395.92555
623	39394.21372
624	39393.31835
625	39392.0843
626	39390.13746
627	39387.73158
628	39386.07455
629	39384.96152
630	39382.14036
631	39380.5283
632	39378.54559
633	39376.35561
634	39374.69019
635	39371.37083
636	39368.8868
637	39367.85177
638	39366.30204
639	39365.38535
640	39363.24089
641	39360.90426
642	39359.21336
643	39357.69124
644	39355.89536
645	39353.25568
646	39351.80057
647	39350.75434
648	39348.84766
649	39347.48737
650	39343.98399
651	39342.88039
652	39339.40946
653	39337.52184
654	39335.7549
655	39333.52224
656	39331.61194
657	39329.98713
658	39327.38894
659	39325.90425
660	39323.84548
661	39322.39434
662	39322.39297
663	39320.40869
664	39318.18346
665	39316.40333
666	39313.75764
667	39310.30392
668	39305.3885
669	39302.84321
670	39301.84713
671	39301.13502
672	39299.51903
673	39298.75001
674	39297.08202
675	39295.77401
676	39294.93678
677	39292.49089
678	39289.55601
679	39288.11057
680	39286.52857
681	39286.45158
682	39284.31327
683	39282.3481
684	39279.18684
685	39278.64631
686	39276.90012
687	39274.82349
688	39273.9113
689	39271.931
690	39270.06492
691	39266.7927
692	39265.80014
693	39262.53942
694	39259.63562
695	39256.95963
696	39256.20313
697	39253.2835
698	39252.25522
699	39250.72278
700	39248.81513
701	39247.83293
702	39247.12432
703	39245.32336
704	39243.97703
705	39242.14923
706	39240.97147
707	39239.28096
708	39238.04555
709	39236.10023
710	39233.25143
711	39232.99068
712	39231.67217
713	39230.10039
714	39229.15887
715	39226.72163
716	39224.39188
717	39223.7476
718	39222.60221
719	39219.12832
720	39217.87513
721	39217.87421
722	39215.01681
723	39212.94849
724	39210.39783
725	39207.90998
726	39206.52062
727	39206.15949
728	39205.32359
729	39203.3553
730	39202.29187
731	39201.68254
732	39199.62142
733	39198.42306
734	39196.98448
735	39196.41537
736	39195.60653
737	39193.934
738	39192.3061
739	39190.85397
740	39189.26318
