iter	Passed	Remaining
0	4	8257
1	7	7136
2	9	6187
3	11	5518
4	12	5168
5	15	5084
6	17	4847
7	18	4655
8	20	4540
9	22	4404
10	24	4365
11	25	4299
12	27	4219
13	29	4185
14	31	4141
15	33	4124
16	35	4099
17	36	4065
18	38	4052
19	40	4042
20	42	4022
21	44	3987
22	46	3955
23	48	3956
24	49	3941
25	51	3919
26	53	3920
27	55	3902
28	57	3888
29	60	3947
30	61	3937
31	63	3930
32	65	3914
33	67	3911
34	69	3908
35	71	3893
36	73	3882
37	75	3876
38	76	3867
39	78	3865
40	80	3850
41	82	3836
42	84	3826
43	85	3820
44	87	3803
45	89	3794
46	91	3783
47	93	3794
48	95	3812
49	98	3829
50	101	3864
51	102	3857
52	104	3840
53	107	3859
54	108	3842
55	110	3836
56	112	3821
57	114	3847
58	117	3854
59	119	3866
60	121	3857
61	123	3862
62	125	3850
63	127	3841
64	128	3831
65	130	3832
66	132	3827
67	134	3819
68	136	3830
69	139	3839
70	141	3833
71	142	3829
72	144	3822
73	146	3812
74	148	3809
75	150	3805
76	152	3801
77	154	3795
78	155	3789
79	158	3800
80	160	3791
81	161	3782
82	163	3778
83	165	3775
84	167	3767
85	169	3762
86	170	3752
87	172	3749
88	174	3744
89	176	3736
90	178	3734
91	180	3740
92	182	3745
93	184	3739
94	186	3731
95	188	3729
96	189	3727
97	191	3723
98	193	3716
99	195	3711
100	197	3708
101	199	3708
102	201	3712
103	203	3704
104	205	3703
105	207	3713
106	209	3709
107	211	3704
108	213	3708
109	215	3711
110	218	3712
111	220	3712
112	222	3711
113	224	3706
114	226	3706
115	227	3698
116	230	3708
117	232	3704
118	234	3699
119	236	3700
120	238	3698
121	240	3700
122	242	3697
123	244	3692
124	246	3690
125	248	3691
126	249	3685
127	252	3685
128	253	3678
129	255	3675
130	257	3671
131	259	3666
132	260	3662
133	262	3658
134	264	3655
135	266	3653
136	268	3650
137	270	3653
138	272	3651
139	274	3649
140	276	3644
141	278	3644
142	280	3640
143	282	3639
144	283	3632
145	285	3629
146	287	3625
147	289	3626
148	291	3624
149	293	3622
150	295	3618
151	297	3616
152	299	3615
153	301	3613
154	303	3611
155	305	3615
156	307	3614
157	309	3610
158	311	3609
159	313	3605
160	315	3600
161	317	3603
162	319	3600
163	321	3604
164	324	3603
165	325	3598
166	327	3593
167	329	3590
168	332	3597
169	333	3593
170	335	3589
171	337	3587
172	339	3583
173	341	3579
174	342	3575
175	344	3573
176	346	3570
177	349	3575
178	351	3571
179	353	3575
180	355	3575
181	357	3571
182	359	3569
183	361	3566
184	364	3571
185	366	3574
186	368	3571
187	370	3568
188	372	3565
189	374	3565
190	376	3566
191	378	3563
192	380	3559
193	381	3554
194	383	3551
195	385	3550
196	387	3547
197	389	3546
198	391	3542
199	393	3538
200	395	3536
201	397	3533
202	398	3529
203	401	3531
204	403	3535
205	406	3539
206	408	3536
207	411	3543
208	413	3542
209	415	3537
210	417	3536
211	419	3537
212	421	3534
213	422	3530
214	425	3529
215	427	3528
216	429	3526
217	430	3522
218	433	3522
219	435	3522
220	437	3521
221	439	3518
222	441	3517
223	443	3518
224	445	3516
225	447	3511
226	449	3508
227	451	3509
228	453	3507
229	455	3504
230	457	3503
231	459	3502
232	461	3499
233	463	3499
234	465	3496
235	467	3496
236	469	3496
237	471	3492
238	473	3488
239	475	3486
240	477	3484
241	479	3484
242	481	3481
243	484	3483
244	486	3482
245	488	3480
246	490	3479
247	492	3477
248	494	3476
249	496	3472
250	497	3469
251	500	3469
252	502	3467
253	503	3464
254	505	3462
255	507	3459
256	510	3462
257	512	3458
258	514	3457
259	516	3457
260	518	3454
261	520	3452
262	522	3448
263	524	3446
264	526	3444
265	527	3441
266	529	3438
267	531	3435
268	533	3434
269	535	3429
270	537	3427
271	539	3425
272	540	3421
273	543	3422
274	545	3423
275	548	3423
276	550	3425
277	552	3423
278	555	3425
279	557	3423
280	559	3424
281	562	3426
282	564	3424
283	566	3421
284	568	3419
285	569	3415
286	572	3416
287	574	3413
288	576	3414
289	578	3412
290	580	3410
291	582	3406
292	584	3405
293	586	3403
294	588	3401
295	590	3398
296	593	3400
297	595	3398
298	597	3396
299	599	3395
300	601	3393
301	603	3390
302	605	3388
303	607	3390
304	609	3388
305	612	3388
306	614	3390
307	617	3391
308	619	3388
309	621	3386
310	623	3384
311	625	3385
312	627	3381
313	629	3381
314	631	3378
315	633	3376
316	635	3373
317	637	3371
318	639	3367
319	641	3368
320	643	3366
321	645	3364
322	647	3362
323	649	3360
324	651	3358
325	653	3355
326	656	3358
327	658	3356
328	660	3353
329	662	3350
330	664	3349
331	665	3345
332	667	3343
333	669	3340
334	671	3337
335	673	3333
336	674	3330
337	676	3327
338	678	3324
339	680	3321
340	682	3318
341	683	3314
342	685	3312
343	687	3310
344	689	3308
345	691	3305
346	694	3307
347	696	3304
348	697	3301
349	699	3299
350	701	3297
351	703	3295
352	705	3293
353	707	3291
354	710	3292
355	712	3291
356	714	3288
357	716	3287
358	718	3284
359	720	3282
360	722	3280
361	724	3278
362	726	3276
363	728	3276
364	730	3273
365	732	3271
366	734	3269
367	736	3267
368	738	3264
369	740	3262
370	743	3264
371	745	3263
372	747	3259
373	749	3257
374	751	3254
375	752	3252
376	754	3250
377	756	3247
378	758	3244
379	761	3244
380	763	3242
381	765	3240
382	767	3238
383	768	3236
384	771	3235
385	773	3232
386	775	3231
387	777	3229
388	780	3232
389	783	3232
390	785	3231
391	787	3228
392	788	3225
393	790	3222
394	792	3220
395	794	3219
396	797	3220
397	799	3216
398	800	3213
399	803	3213
400	805	3211
401	807	3208
402	808	3205
403	810	3203
404	812	3200
405	814	3198
406	816	3195
407	818	3193
408	820	3192
409	822	3190
410	824	3187
411	826	3185
412	828	3185
413	830	3183
414	832	3180
415	834	3177
416	836	3176
417	838	3174
